track_id,audio_path,genre,split
2,data/audio/fma_small\000\000002.mp3,Hip-Hop,training
5,data/audio/fma_small\000\000005.mp3,,training
10,data/audio/fma_small\000\000010.mp3,Hip-Hop,training
140,data/audio/fma_small\000\000140.mp3,Rock,training
141,data/audio/fma_small\000\000141.mp3,Rock,training
148,data/audio/fma_small\000\000148.mp3,Rock,training
182,data/audio/fma_small\000\000182.mp3,Rock,training
190,data/audio/fma_small\000\000190.mp3,Rock,training
193,data/audio/fma_small\000\000193.mp3,Electronic,training
194,data/audio/fma_small\000\000194.mp3,Electronic,training
197,data/audio/fma_small\000\000197.mp3,Electronic,training
200,data/audio/fma_small\000\000200.mp3,Electronic,training
203,data/audio/fma_small\000\000203.mp3,Electronic,training
204,data/audio/fma_small\000\000204.mp3,Electronic,training
207,data/audio/fma_small\000\000207.mp3,Electronic,training
210,data/audio/fma_small\000\000210.mp3,Experimental,training
211,data/audio/fma_small\000\000211.mp3,,training
212,data/audio/fma_small\000\000212.mp3,Experimental,training
213,data/audio/fma_small\000\000213.mp3,,training
255,data/audio/fma_small\000\000255.mp3,Rock,training
256,data/audio/fma_small\000\000256.mp3,Rock,training
368,data/audio/fma_small\000\000368.mp3,Jazz,training
424,data/audio/fma_small\000\000424.mp3,Electronic,training
459,data/audio/fma_small\000\000459.mp3,Rock,validation
534,data/audio/fma_small\000\000534.mp3,Soul-RnB,test
540,data/audio/fma_small\000\000540.mp3,Rock,training
546,data/audio/fma_small\000\000546.mp3,Rock,training
574,data/audio/fma_small\000\000574.mp3,Experimental,training
602,data/audio/fma_small\000\000602.mp3,Pop,training
615,data/audio/fma_small\000\000615.mp3,Rock,training
620,data/audio/fma_small\000\000620.mp3,Experimental,training
621,data/audio/fma_small\000\000621.mp3,Experimental,training
625,data/audio/fma_small\000\000625.mp3,Electronic,training
666,data/audio/fma_small\000\000666.mp3,Spoken,validation
667,data/audio/fma_small\000\000667.mp3,Spoken,validation
676,data/audio/fma_small\000\000676.mp3,Spoken,validation
690,data/audio/fma_small\000\000690.mp3,Spoken,validation
694,data/audio/fma_small\000\000694.mp3,Spoken,validation
695,data/audio/fma_small\000\000695.mp3,Spoken,validation
704,data/audio/fma_small\000\000704.mp3,Spoken,validation
705,data/audio/fma_small\000\000705.mp3,Spoken,validation
706,data/audio/fma_small\000\000706.mp3,Spoken,validation
707,data/audio/fma_small\000\000707.mp3,Spoken,validation
708,data/audio/fma_small\000\000708.mp3,Spoken,validation
709,data/audio/fma_small\000\000709.mp3,Spoken,validation
714,data/audio/fma_small\000\000714.mp3,Spoken,validation
715,data/audio/fma_small\000\000715.mp3,Spoken,validation
716,data/audio/fma_small\000\000716.mp3,Spoken,validation
718,data/audio/fma_small\000\000718.mp3,Spoken,validation
777,data/audio/fma_small\000\000777.mp3,Rock,training
814,data/audio/fma_small\000\000814.mp3,,test
821,data/audio/fma_small\000\000821.mp3,Experimental,training
822,data/audio/fma_small\000\000822.mp3,Electronic,validation
825,data/audio/fma_small\000\000825.mp3,Rock,validation
853,data/audio/fma_small\000\000853.mp3,Electronic,training
890,data/audio/fma_small\000\000890.mp3,Rock,training
892,data/audio/fma_small\000\000892.mp3,Rock,training
897,data/audio/fma_small\000\000897.mp3,Rock,training
993,data/audio/fma_small\000\000993.mp3,Experimental,test
995,data/audio/fma_small\000\000995.mp3,Experimental,test
997,data/audio/fma_small\000\000997.mp3,Rock,training
998,data/audio/fma_small\000\000998.mp3,Rock,training
1039,data/audio/fma_small\001\001039.mp3,Folk,training
1040,data/audio/fma_small\001\001040.mp3,Electronic,training
1066,data/audio/fma_small\001\001066.mp3,Electronic,training
1069,data/audio/fma_small\001\001069.mp3,Experimental,training
1073,data/audio/fma_small\001\001073.mp3,Experimental,training
1075,data/audio/fma_small\001\001075.mp3,,training
1082,data/audio/fma_small\001\001082.mp3,Rock,training
1083,data/audio/fma_small\001\001083.mp3,Rock,training
1087,data/audio/fma_small\001\001087.mp3,Rock,training
1102,data/audio/fma_small\001\001102.mp3,Rock,training
1193,data/audio/fma_small\001\001193.mp3,Rock,training
1195,data/audio/fma_small\001\001195.mp3,Rock,training
1196,data/audio/fma_small\001\001196.mp3,Rock,training
1197,data/audio/fma_small\001\001197.mp3,Rock,training
1249,data/audio/fma_small\001\001249.mp3,Experimental,test
1259,data/audio/fma_small\001\001259.mp3,Rock,training
1270,data/audio/fma_small\001\001270.mp3,Rock,training
1276,data/audio/fma_small\001\001276.mp3,Rock,training
1277,data/audio/fma_small\001\001277.mp3,Rock,training
1278,data/audio/fma_small\001\001278.mp3,Rock,training
1417,data/audio/fma_small\001\001417.mp3,Folk,training
1427,data/audio/fma_small\001\001427.mp3,Rock,training
1443,data/audio/fma_small\001\001443.mp3,Rock,training
1482,data/audio/fma_small\001\001482.mp3,Pop,training
1510,data/audio/fma_small\001\001510.mp3,Rock,training
1544,data/audio/fma_small\001\001544.mp3,Folk,training
1642,data/audio/fma_small\001\001642.mp3,Electronic,training
1644,data/audio/fma_small\001\001644.mp3,Electronic,training
1649,data/audio/fma_small\001\001649.mp3,Electronic,training
1661,data/audio/fma_small\001\001661.mp3,Experimental,test
1663,data/audio/fma_small\001\001663.mp3,Experimental,test
1666,data/audio/fma_small\001\001666.mp3,Experimental,test
1673,data/audio/fma_small\001\001673.mp3,Experimental,test
1680,data/audio/fma_small\001\001680.mp3,Rock,test
1681,data/audio/fma_small\001\001681.mp3,Rock,test
1682,data/audio/fma_small\001\001682.mp3,,training
1683,data/audio/fma_small\001\001683.mp3,Experimental,training
1684,data/audio/fma_small\001\001684.mp3,Electronic,training
1685,data/audio/fma_small\001\001685.mp3,,training
1686,data/audio/fma_small\001\001686.mp3,,training
1687,data/audio/fma_small\001\001687.mp3,,training
1688,data/audio/fma_small\001\001688.mp3,,training
1689,data/audio/fma_small\001\001689.mp3,,training
1701,data/audio/fma_small\001\001701.mp3,Folk,training
1702,data/audio/fma_small\001\001702.mp3,Folk,training
1703,data/audio/fma_small\001\001703.mp3,Folk,training
1704,data/audio/fma_small\001\001704.mp3,,test
1706,data/audio/fma_small\001\001706.mp3,,test
1720,data/audio/fma_small\001\001720.mp3,Hip-Hop,training
1732,data/audio/fma_small\001\001732.mp3,Electronic,validation
1733,data/audio/fma_small\001\001733.mp3,Electronic,validation
1735,data/audio/fma_small\001\001735.mp3,Rock,training
1736,data/audio/fma_small\001\001736.mp3,Rock,training
1883,data/audio/fma_small\001\001883.mp3,Electronic,training
1891,data/audio/fma_small\001\001891.mp3,Electronic,training
1893,data/audio/fma_small\001\001893.mp3,Electronic,training
1924,data/audio/fma_small\001\001924.mp3,Rock,training
1925,data/audio/fma_small\001\001925.mp3,Rock,training
1929,data/audio/fma_small\001\001929.mp3,Rock,training
1930,data/audio/fma_small\001\001930.mp3,Rock,training
2012,data/audio/fma_small\002\002012.mp3,Folk,training
2096,data/audio/fma_small\002\002096.mp3,Rock,training
2097,data/audio/fma_small\002\002097.mp3,Rock,training
2099,data/audio/fma_small\002\002099.mp3,,training
3263,data/audio/fma_small\003\003263.mp3,Rock,test
3264,data/audio/fma_small\003\003264.mp3,Rock,test
3265,data/audio/fma_small\003\003265.mp3,Rock,test
3266,data/audio/fma_small\003\003266.mp3,Rock,test
3270,data/audio/fma_small\003\003270.mp3,Experimental,training
3271,data/audio/fma_small\003\003271.mp3,Experimental,training
3272,data/audio/fma_small\003\003272.mp3,Experimental,training
3273,data/audio/fma_small\003\003273.mp3,Rock,test
3274,data/audio/fma_small\003\003274.mp3,Rock,test
